,Flight,Trip,time,date,Time(cst),latitude,longitude,height_above_takeoff_ft,height_sonar,satellites,gpslevel,voltage, xSpeed, ySpeed, zSpeed, pitch, roll,rc_elevator,rc_aileron,rc_throttle,rc_rudder,battery_percent,current,battery_temperature,flycStateRaw,Payload,Temperature,dew_Point,Humidity,Wind angle,wind_speed,wind_gust,Line_Voltage_rating,AC,H_Field_mG,E_Field_V/m,lat_shift,lon_shift,alt_shift,dist_consecutive
1792,3,1,32200,2022-08-11 14:08:04,2022-08-11 09:08:04,47.8602832563996,-97.0695556617585,0.0,0.0,23,5,24.016,0.0,0.0,0.0,0.5,1.2,0,0,0,0,80,10.544,83.12,41,1,71.75,54.0,53.8,135.0,8 mph,0 mph,230,1,1.6,57.9,47.860283241545,-97.0695559673515,0.0,0.0005256044580721872
1793,3,1,33200,2022-08-11 14:08:05,2022-08-11 09:08:05,47.8602834690593,-97.0695555551827,0.0,0.0,23,5,24.108,0.0,0.0,0.0,0.5,1.2,0,0,0,0,80,3.718,83.12,10,1,71.75,54.0,53.8,135.0,8 mph,0 mph,230,1,2.7,58.8,47.8602832563996,-97.0695556617585,0.0,0.0006226877618108844
1794,3,1,34200,2022-08-11 14:08:06,2022-08-11 09:08:06,47.8602835460568,-97.0695553412076,0.0,0.0,23,5,24.111,0.0,0.0,0.0,0.5,1.2,0,0,0,0,80,2.761,83.12,10,1,71.75,54.0,53.8,135.0,8 mph,0 mph,230,1,3.1,58.7,47.8602834690593,-97.0695555551827,0.0,0.0003296468240128975
1795,3,1,35200,2022-08-11 14:08:07,2022-08-11 09:08:07,47.8602834997367,-97.0695551045691,0.0,0.0,23,5,24.106,0.0,0.0,0.0,0.4,1.2,0,0,15,0,80,2.885,83.12,10,1,71.75,54.0,53.8,135.0,8 mph,0 mph,230,1,2.7,58.7,47.8602835460568,-97.0695553412076,0.0,0.000340057678222563
1796,3,1,36200,2022-08-11 14:08:08,2022-08-11 09:08:08,47.8602837128676,-97.0695549362721,0.0,0.0,23,5,24.109,0.0,0.0,-0.447388,-2.8,-0.6,0,0,74,0,80,3.512,83.12,10,1,71.75,54.0,53.8,135.0,8 mph,0 mph,230,1,2.8,58.1,47.8602834997367,-97.0695551045691,0.0,0.0007201582544114752
1797,3,1,37200,2022-08-11 14:08:09,2022-08-11 09:08:09,47.8602839848602,-97.0695562796988,4.265092,4.265092,23,5,23.936,0.0,0.0,-6.039738,0.4,2.1,0,0,38,0,79,18.358,83.12,6,1,71.75,54.0,53.8,135.0,8 mph,0 mph,230,1,4.2,58.4,47.8602837128676,-97.0695549362721,0.0,18.202029451306988
1798,3,1,38300,2022-08-11 14:08:10,2022-08-11 09:08:10,47.8602842043133,-97.0695552282924,10.826772,10.826772,23,5,23.487,0.0,0.0,-0.447388,-0.6,0.0,0,0,0,-15,79,26.103,83.12,6,1,71.75,54.0,53.8,135.0,8 mph,0 mph,230,1,7.8,58.7,47.8602839848602,-97.0695562796988,4.265092,43.062429276194806
1799,3,1,39200,2022-08-11 14:08:11,2022-08-11 09:08:11,47.8602844381927,-97.0695558813516,10.826772,10.826772,23,5,23.813,0.0,0.0,0.0,0.3,1.7,0,0,0,-53,79,16.589,83.12,6,1,71.75,54.0,53.8,135.0,8 mph,0 mph,230,1,7.4,59.9,47.8602842043133,-97.0695552282924,10.826772,0.0030641405024296035
1800,3,1,40200,2022-08-11 14:08:12,2022-08-11 09:08:12,47.8602845559933,-97.0695558143315,10.826772,10.826772,23,5,23.675,0.0,0.0,0.0,0.7,0.7,0,0,0,-51,79,23.627,83.12,6,1,71.75,54.0,53.8,135.0,8 mph,0 mph,230,1,6.8,60.2,47.8602844381927,-97.0695558813516,10.826772,0.0001967058307491788
1801,3,1,41200,2022-08-11 14:08:13,2022-08-11 09:08:13,47.8602845212211,-97.0695560657812,10.826772,10.826772,23,5,23.632,0.0,0.0,0.0,1.4,1.1,0,0,0,0,79,24.94,83.12,6,1,71.75,54.0,53.8,135.0,8 mph,0 mph,230,1,7.4,59.7,47.8602845559933,-97.0695558143315,10.826772,0.0003689570088661099
1802,3,1,42200,2022-08-11 14:08:14,2022-08-11 09:08:14,47.8602848120262,-97.069556508868,10.826772,10.826772,23,5,23.628,0.0,0.0,0.0,0.8,0.6,0,0,0,0,79,23.9,83.3,6,1,71.75,54.0,53.8,135.0,8 mph,0 mph,230,1,7.4,60.0,47.8602845212211,-97.0695560657812,10.826772,0.002144716032566458
1803,3,1,43300,2022-08-11 14:08:15,2022-08-11 09:08:15,47.8602846636767,-97.0695589500498,10.826772,10.826772,23,5,23.606,-0.223694,-0.671082,0.0,-3.8,-0.7,28,0,0,-12,79,23.988,83.3,6,1,71.75,54.0,53.8,135.0,8 mph,0 mph,230,1,7.1,60.3,47.8602848120262,-97.069556508868,10.826772,0.03363871768739276
1804,3,1,44100,2022-08-11 14:08:16,2022-08-11 09:08:16,47.8602829030318,-97.0695671597237,10.826772,10.826772,23,5,23.609,-0.671082,-2.013246,0.0,-3.7,-0.9,24,0,0,-3,79,24.224,83.3,6,1,71.75,54.0,53.8,135.0,8 mph,0 mph,230,1,6.8,60.1,47.8602846636767,-97.0695589500498,10.826772,0.41568989583262433
1805,3,1,45200,2022-08-11 14:08:17,2022-08-11 09:08:17,47.8602778150046,-97.0695859000723,10.826772,11.154856,23,5,23.585,-1.11847,-2.908022,0.0,-1.0,-0.3,15,0,0,0,79,23.314,83.3,6,1,71.75,54.0,53.8,135.0,8 mph,0 mph,230,1,7.0,59.3,47.8602829030318,-97.0695671597237,10.826772,2.286426542413208
1806,3,1,46200,2022-08-11 14:08:18,2022-08-11 09:08:18,47.8602727682433,-97.0696041380319,10.826772,11.154856,23,5,23.567,-1.11847,-2.908022,0.0,0.0,-0.3,16,0,0,0,79,23.446,83.3,6,1,71.75,54.0,53.8,135.0,8 mph,0 mph,230,1,6.8,61.4,47.8602778150046,-97.0695859000723,10.826772,2.177240719518342
1807,3,1,47200,2022-08-11 14:08:19,2022-08-11 09:08:19,47.8602673509209,-97.0696225094891,10.826772,11.154856,23,5,23.555,-1.342164,-3.131716,0.0,-1.0,-0.2,18,0,0,0,79,23.306,83.3,6,1,71.75,54.0,53.8,135.0,8 mph,0 mph,230,1,5.8,61.9,47.8602727682433,-97.0696041380319,10.826772,2.2525423658018866
1808,3,1,48200,2022-08-11 14:08:20,2022-08-11 09:08:20,47.8602617492175,-97.0696417528067,10.826772,11.811024,23,5,23.528,-1.342164,-3.131716,0.0,-1.1,0.2,17,0,0,0,79,24.913,83.3,6,1,71.75,54.0,53.8,135.0,8 mph,0 mph,230,1,6.5,62.9,47.8602673509209,-97.0696225094891,10.826772,2.461279199758435
1809,3,1,49100,2022-08-11 14:08:21,2022-08-11 09:08:21,47.860256716557,-97.0696602541032,10.826772,12.467192,23,5,23.493,-1.11847,-3.35541,0.0,-0.5,-0.4,14,0,0,0,79,25.756,83.3,6,1,71.75,54.0,53.8,135.0,8 mph,0 mph,230,1,6.8,62.8,47.8602617492175,-97.0696417528067,10.826772,2.229654281024992
1810,3,1,50200,2022-08-11 14:08:22,2022-08-11 09:08:22,47.8602506232623,-97.069682409811,10.826772,13.451444,23,5,23.497,-1.11847,-3.131716,0.0,-0.3,-1.1,14,0,0,0,79,24.867,83.3,6,1,71.75,54.0,53.8,135.0,8 mph,0 mph,230,1,7.0,62.9,47.860256716557,-97.0696602541032,10.826772,3.2074308296331884
